Penulis,Komentar,Komentar_Bersih
@syahrulamrina1753,"Tadi malam habis maghrib aku juga lihat dua bola api dilangit tapi terus hilang, sayang nggak sempat  shooting cuma beberapa detik kearah utara larinya, dari cilacap.",tadi malam habis maghrib aku juga lihat dua bola api dilangit tapi terus hilang sayang nggak sempat shooting cuma beberapa detik kearah utara larinya dari cilacap
@KetutArtawan-tg8su,aku pernah sekali liat metor jatuh,aku pernah sekali liat metor jatuh
@antgen9023,Sampai Batam  😢,sampai batam
@MuhamadRidwan-u2g,"Malam tadi lewat ke ciamis, ternyata jatuh nya di Cirebon",malam tadi lewat ke ciamis ternyata jatuh nya di cirebon
@denyanchusaliem,Kukira rudal iran nyasar,kukira rudal iran nyasar
@JokoblegBlee,Alhamdulilah azab allah turun buat pjbat sial dangkalan.. Dkit lg meledak ni endonesya😊,alhamdulilah azab allah turun buat pjbat sial dangkalan dkit lg meledak ni endonesya
@tirtaardi9487,Ah itu cuman petasan kesasar kok dibesar besarkan😅😅😅 ada yang iseng bikin petasan kegedean😊😊😊,ah itu cuman petasan kesasar kok dibesar besarkan ada yang iseng bikin petasan kegedean
@Fuck_fuck83,Bang cari bang mahal itu,bang cari bang mahal itu
@batman-eb5xj,Meteor saja tidak terdeteksi di radar kalau rudal balistik atau nuklir yang lewat gimana,meteor saja tidak terdeteksi di radar kalau rudal balistik atau nuklir yang lewat gimana
@NadianNasbsjsjsjsb,Jangan jangan itu Rudal😱😱,jangan jangan itu rudal
@HasdinVahrezi,"Ngk mungkin meteor, itu pasti sejenis pengintai, indonesia harus punya iron dome supaya aman dri ancaman luar?",ngk mungkin meteor itu pasti sejenis pengintai indonesia harus punya iron dome supaya aman dri ancaman luar
@huseinyahya212,badan antariksa indonesia BRIN ?,badan antariksa indonesia brin
@TazoidWild,Ayuk kita cari gaess dan kita jual biar bisa beli alphart,ayuk kita cari gaess dan kita jual biar bisa beli alphart
@IruRusadi,Ga ada diitnya bodo amat,ga ada diitnya bodo amat
@harisyamsuddin652,nunggu konfirmasi aki jarot😂..,nunggu konfirmasi aki jarot
@Abizarrayanza123,Ini lewat dilangit Kalimantan Utara loh,ini lewat dilangit kalimantan utara loh
@ekosulistyos8294,Pertanda akan terjadi huru hara di negeri sendiri,pertanda akan terjadi huru hara di negeri sendiri
@xtry2813,"Struktur pemerintahan ada Presiden, Gubernur, Camat, Lurah bahkan Rt yg di beri kompensasi pemerintah krn wewenang dan tugasnya. Kenapa aku cari beritanya jatuh dimana ga tau sampai skrg?. Dentuman sampai terdengar jauh. Kok pusat lokasi dentuman tidak ada berita sampai skrg. 😂",struktur pemerintahan ada presiden gubernur camat lurah bahkan rt yg di beri kompensasi pemerintah krn wewenang dan tugasnya kenapa aku cari beritanya jatuh dimana ga tau sampai skrg dentuman sampai terdengar jauh kok pusat lokasi dentuman tidak ada berita sampai skrg
@netto587,Kalau dijawa tempatnya pasti disimpulkan itu santet Brajamusti,kalau dijawa tempatnya pasti disimpulkan itu santet brajamusti
@lee0388,batunya mahal itu😂 jgn smpe pemrintag tau tar di ambil😂😅mnding diem2 jual sendiri,batunya mahal itu jgn smpe pemrintag tau tar di ambilmnding diem2 jual sendiri
@galuhfebrian4821,"kirain halu,  trnyata bener yg dilihat semalem meteor 😮",kirain halu trnyata bener yg dilihat semalem meteor
@priacogan2564,"Kaleee,... Uda mulai bolong2 atmosfer kita,..",kaleee uda mulai bolong2 atmosfer kita
@supraptoprapto7073,Knapa ga jatuh di rmhnya mukidi aja biar jd berita nasional,knapa ga jatuh di rmhnya mukidi aja biar jd berita nasional
@ellyrosida5352,Ko skr skr ini banyak benda benda seperti itu pada jatuh .dan rumah pada rusak,ko skr skr ini banyak benda benda seperti itu pada jatuh dan rumah pada rusak
@AfzarShakeilMusyafa,Banaspati,banaspati
@dwiputrawahyukusuma7821,Radar TNI AU apakabar? Kalo rudal/pesawat dah diacak acak nih pulau jawa,radar tni au apakabar kalo rudalpesawat dah diacak acak nih pulau jawa
@yunusmiransyah8897,BANAS PATI ATAU METEOR?,banas pati atau meteor
@KacamataPembeli,Meteor2 tau tau rudal aja 😂,meteor2 tau tau rudal aja
@IwanSetiawan-qm1sg,Aque lebih suka dengar LIPI daripada BRIN,aque lebih suka dengar lipi daripada brin
@auzdubillah3979,"Semoga batunya di ambil dan menjadi hak milik pemerintah...
Terus disulap oleh marcel menjadi batu mulia..
Kemudian bisa dijual ke luar negeri...alhasil dapat cuan..bisa untuk ngelunasin hutang negara...amiiin..😂😂😂",semoga batunya di ambil dan menjadi hak milik pemerintah terus disulap oleh marcel menjadi batu mulia kemudian bisa dijual ke luar negerialhasil dapat cuanbisa untuk ngelunasin hutang negaraamiiin
@agusnadi4194,"lemah nya konoha tidak ada sistem pertahana udara,coba lihat china kemarin langsung dihancurkan di udara..",lemah nya konoha tidak ada sistem pertahana udaracoba lihat china kemarin langsung dihancurkan di udara
@ahmadzaki9881,teluh kiriman dari mak lampir buat puan mega,teluh kiriman dari mak lampir buat puan mega
@bamadityaaditya9612,Nguji Rudal hipersonik,nguji rudal hipersonik
@PUJAWALI_BALI,Batu meteor mahal. Kalau ketemu diam2 aja jual di Luar Negeri dpt uang Triliunan,batu meteor mahal kalau ketemu diam2 aja jual di luar negeri dpt uang triliunan
@byanrider7243,Rudal Banaspati😊,rudal banaspati
@welehwelehalter7815,Itu meteor alami atau sampah antariksa buangan negara lain?,itu meteor alami atau sampah antariksa buangan negara lain
@tino-f6u,Waah ini pasti karomah Kabib bisa menurunkan meteor,waah ini pasti karomah kabib bisa menurunkan meteor
@tjiptonotarkam3764,Kedengaran sanpai ke Brebes barat.,kedengaran sanpai ke brebes barat
@nafistation,Alhamdulillah semoga gada yg bilang itu banaspati atau santet ya hehehe 😆,alhamdulillah semoga gada yg bilang itu banaspati atau santet ya hehehe
@bagassriindrantoro6807,"Kalo ada yg menemukan, jangan diserahkan ke pemerintah. Paling sama pemerintah cuma dikasih ucapan terima kasih trus diajak foto foto....RUGI ! 

Mending anda jual secara mandiri, kalau materialnya langka bisa kaya mendadak. Daripada diserahkan ke negara, yg kaya malah pejabat",kalo ada yg menemukan jangan diserahkan ke pemerintah paling sama pemerintah cuma dikasih ucapan terima kasih trus diajak foto fotorugi mending anda jual secara mandiri kalau materialnya langka bisa kaya mendadak daripada diserahkan ke negara yg kaya malah pejabat
@HaerudinHaerudin-w5e,Dentumannya terdengar keras,dentumannya terdengar keras
@mohasat-me9ic,Hayo datanya mana?,hayo datanya mana
@HanStephenson-c8l,Sistem pertahanan Indonesia kecolongan?,sistem pertahanan indonesia kecolongan
@JOGETINAJA-w5x,AWAL MULA PANDEMI BERSIAPLAH WAHAI NETIZEN TOLOL,awal mula pandemi bersiaplah wahai netizen tolol
@darmadidarmadi5192,Itu Kal El udah sampe bumi..,itu kal el udah sampe bumi
@layarnaratif,Bahasa teknologi terlalu rumit.padahal itu cuma sudawirat menyerang mak lampir dengan rengka gunung😩,bahasa teknologi terlalu rumitpadahal itu cuma sudawirat menyerang mak lampir dengan rengka gunung
@Kupu-Kupu-4a,BRIN sedang tidur nyenyak dan ga bisa melakukan penelitian😂😂😂😂,brin sedang tidur nyenyak dan ga bisa melakukan penelitian
@Tugimangantenk,Itu super Seiya sedang terbang.,itu super seiya sedang terbang
@doamimihchanel8086,"Ayoo berburu pecahan batunya ,harga 36 T",ayoo berburu pecahan batunya harga 36 t
@Uea_x56,😂😂😂😂 itu rudal iran,itu rudal iran
@kangaguswelder,Mana video tempat jatuhnya😊,mana video tempat jatuhnya
@iwayan.suryana,Meteor dari luar angkasa yang membawa virus zombie.. Tidak lama lagi..... Akan........,meteor dari luar angkasa yang membawa virus zombie tidak lama lagi akan
@dediprnm,rudal,rudal
@RioSahaja-u3f,Rudal ya Australia 😂😂,rudal ya australia
@Wahidin-hc6su,saya dri Pekalongan jg mlihat,saya dri pekalongan jg mlihat
@WawangunawanGunawan-s6k4t,Banaspati,banaspati
@m.jihanridwannursidik3080,"Kenapa, kita ga punya rudal pencegahan?",kenapa kita ga punya rudal pencegahan
@urban99,Kedengaran bos sampe Jawa tengah,kedengaran bos sampe jawa tengah
@pengembangandirinmotivasi6279,"Di daerah saya juga ada, perbatasan trmanggung kendal.. di pelosok.. ada cahaya seperti api jatuh dari langit",di daerah saya juga ada perbatasan trmanggung kendal di pelosok ada cahaya seperti api jatuh dari langit
@hendraaditya1893,𝖡𝖺𝗇𝖺𝗌𝗉𝖺𝗍𝗂,
@Yerikho11Januari,Itu rudal eksperimen buatan Prabowo di hari raya TNI,itu rudal eksperimen buatan prabowo di hari raya tni
@EpicTua,ini mah sampah antariksa,ini mah sampah antariksa
@dahendful,"Ayo cari, mahal tu dijual..",ayo cari mahal tu dijual
@colornews9168,Sisa peluncuran roket tuuh..pecah diatas,sisa peluncuran roket tuuhpecah diatas
@boring_bro1,Tanda tanda ny akan terjadi perang besar 😂😂😂,tanda tanda ny akan terjadi perang besar
@mujhimj2008,Pasti ini sabotase alien yg tidak ingin melihat indonesia maju,pasti ini sabotase alien yg tidak ingin melihat indonesia maju
@AiniInayah-m6w,"saya liht smlm . sekitar jm 7 kurang kira2 . kirain aku apa , kirain slh liht , kya banaspati . trnyata bner ada britany",saya liht smlm sekitar jm 7 kurang kira2 kirain aku apa kirain slh liht kya banaspati trnyata bner ada britany
@muhammadaliirkham3221,Batu ini sangat mahal jika di jual ke kolektor di USA,batu ini sangat mahal jika di jual ke kolektor di usa
@ahmadjaelani5148,itu rudal khaan boss dalam rangkat hut TNI,itu rudal khaan boss dalam rangkat hut tni
@gladiator0998,Lumayan itu mahal batunya..,lumayan itu mahal batunya
@naevavivi7553,Habis china skrng indo. Tpi china berhasil meledakkan meteor dgn irondome sblm jatuh ke bumi. Indo brin aja gk ada info wkwk,habis china skrng indo tpi china berhasil meledakkan meteor dgn irondome sblm jatuh ke bumi indo brin aja gk ada info wkwk
@kasatrioninggusti5915,Meteor apa rudal..,meteor apa rudal
@AbasGhani-q3y,D cilacap barat juga ad tadi mlm meteor jatuh,d cilacap barat juga ad tadi mlm meteor jatuh
@kazekagegarra9096,"Cariii batu nyaaa
Auto jadi kaya raya",cariii batu nyaaa auto jadi kaya raya
@SokidRock,Meteor atau rudalnya israel??,meteor atau rudalnya israel
@asepruqyah9946,"Kami berada di kec Banjarharjo kab Brebes, bola api terlihat di sebelah timur. Kalau di Cirebon mestinya di sebelah barat dong. Vidio ini hoax...",kami berada di kec banjarharjo kab brebes bola api terlihat di sebelah timur kalau di cirebon mestinya di sebelah barat dong vidio ini hoax
@Anane-chan,Sialan!!! Gue semalem mimpi meteor pada berjatuhan... Sekarang buka YouTube muncul vidio ini.,sialan gue semalem mimpi meteor pada berjatuhan sekarang buka youtube muncul vidio ini
@Hengki_gaming-u2p,Itu tni lagi uji rudal balistik dari laut😂,itu tni lagi uji rudal balistik dari laut
@sekhagrubug657,Tanda-tanda akhir tahun,tandatanda akhir tahun
@derainsomniac,mirip rudal,mirip rudal
@ahmadhendi-tu9lu,mkgn itu rudal dari israel,mkgn itu rudal dari israel
@windinovikristiana,"Itu cahaya yg merah bukannya dari petasan ya, kan ada yg post lagi nyalain petasannya",itu cahaya yg merah bukannya dari petasan ya kan ada yg post lagi nyalain petasannya
@cahsobo2396,Otsusuki lagi datang invansi,otsusuki lagi datang invansi
@SlamatMujahidin,Harusnya jatuhnya di.orang2 yg melindungi para koruptor dan korupsi,harusnya jatuhnya diorang2 yg melindungi para koruptor dan korupsi
@bukanmanusia4706,"Kaum bumi datar gmn ya, d meteor jtuh kek gni?. Teori bumi datar kan ngawur.",kaum bumi datar gmn ya d meteor jtuh kek gni teori bumi datar kan ngawur
@srihandarini1620,"Klo mnrut dongeng moyang2 dhulu ..
Itu tanda kemunculan satrio piningit yg mmbawa cahaya,dri arah antara cirebon ,brebes
😂😂😂",klo mnrut dongeng moyang2 dhulu itu tanda kemunculan satrio piningit yg mmbawa cahayadri arah antara cirebon brebes
@Shorenk1922.,Yah ketahuan itu kmrin aku baru uji coba rudhal balistic hypersonic,yah ketahuan itu kmrin aku baru uji coba rudhal balistic hypersonic
@renosarwono1817,Batu meteor kalo ketemu harganya mahal,batu meteor kalo ketemu harganya mahal
@dwiartianiss6769,"Bukan meteor itu sih kayaknya...
Tapii misil jangan-jangan...",bukan meteor itu sih kayaknya tapii misil janganjangan
@andriowen2376,Teguran dari yang kuasa agar para pejabat segera bertobat.,teguran dari yang kuasa agar para pejabat segera bertobat
@AndiO7-nk1yk,Sede mikian bayak org TDK ada yg ngeliat posisi jatuh ya dan bekas ya di pastikan jatuh di tempat TDK ada org tinggal atau di laut,sede mikian bayak org tdk ada yg ngeliat posisi jatuh ya dan bekas ya di pastikan jatuh di tempat tdk ada org tinggal atau di laut
@YogiPujiLaksonoh,Rudal balistik,rudal balistik
@WongBrebesTV-y5o,Kapolri tolong dong langsg ipestiigasi takutnya rudal kiriman israel,kapolri tolong dong langsg ipestiigasi takutnya rudal kiriman israel
@mleot_odoy.,Kopong amat sistem pertahanan udara indo 😂,kopong amat sistem pertahanan udara indo
@vladimiralputin9931,Tiap meteor jatuh gak pernah siang hari pasti malam ngertian benar meteor biar kelihatan api apinya gitu.,tiap meteor jatuh gak pernah siang hari pasti malam ngertian benar meteor biar kelihatan api apinya gitu
@frank-jw1zo,TUHAN SDH MULAI BOSAN LIHAT KESERAKAHAN MANUSIA,tuhan sdh mulai bosan lihat keserakahan manusia
@YtAad.senpai,"Badan Meteorologi Klimatologi dan Geofisika..
udah jelas kan? METEOROLOGI.. bisa²nya lempar tanggung jawab",badan meteorologi klimatologi dan geofisika udah jelas kan meteorologi bisanya lempar tanggung jawab
@happyworld76-h5c,"Lemot yah kerja nya instansi terkait, nunggu ada korban baru deh cuap2",lemot yah kerja nya instansi terkait nunggu ada korban baru deh cuap2
@qurrotuluyun3134,Bukan meteor tp rudal itu kyknya,bukan meteor tp rudal itu kyknya
@SONEYEDHIAN,Jadi keinget film A Quiet Place 😱,jadi keinget film a quiet place
@hiburan7476,"100% meteor jatuh itu...
pesan bagi penduduk sekitar, jika batu meteor sudah ketemu  jangan heboh, nanti diambil pemerintah",100 meteor jatuh itu pesan bagi penduduk sekitar jika batu meteor sudah ketemu jangan heboh nanti diambil pemerintah
@utomozmn,"di cari mas, harga batu meteor iku hampir sama emas.. banyak kandungan logam jarang atau emas",di cari mas harga batu meteor iku hampir sama emas banyak kandungan logam jarang atau emas
@pakuhebat,"Wah jatuh di laut, nnti bisa berkembang kyak venom,  seperti batu meteor yg orang venezuela temukan bisa berkembang simbiotnya..  
 Nnti hewan2 di laut jadi mutan semua.. kek di film2",wah jatuh di laut nnti bisa berkembang kyak venom seperti batu meteor yg orang venezuela temukan bisa berkembang simbiotnya nnti hewan2 di laut jadi mutan semua kek di film2
@rondasihrondasih9635,pantesan suara nya mengemah dr dlm tanah dn tanah pun bergetar sy smpe kluar rumah krn takut gempa eh ternyata meteir,pantesan suara nya mengemah dr dlm tanah dn tanah pun bergetar sy smpe kluar rumah krn takut gempa eh ternyata meteir
@fitriadi4335,Itu rudal Iran hantam israel,itu rudal iran hantam israel
@fishingintentions,rudal yaman palestine 2,rudal yaman palestine 2
@dinginberkarakter7711,Itu peringatan buat Cirebon bikin tahu gejrot harus lebih pedes lagi,itu peringatan buat cirebon bikin tahu gejrot harus lebih pedes lagi
@JokoLeloro-u9k,"Kalo warga nemuin batu meteornya , Jangn kasih tau pemerintah .👌",kalo warga nemuin batu meteornya jangn kasih tau pemerintah
@dedeprhtyn,Itu uang jumbo jatuh 🤑🤑🤑🤑,itu uang jumbo jatuh
@pingkan_meliana,Mana s 400 kita woyyuuu😂😂😂😂,mana s 400 kita woyyuuu
@Bebegigg,"Kaum.immortal masuk bumi
. Waspadalah waspadalah hahahhahaha...",kaumimmortal masuk bumi waspadalah waspadalah hahahhahaha
@putraindonesia26,gw kira petir ternyata ini ya,gw kira petir ternyata ini ya
@OpanOpan-tj3nf,Itumah kayak teluh santet banaspati😂,itumah kayak teluh santet banaspati
@RifkiSuhada-fl9ko,Kakaroto telah tiba ke planet bumi.. Saatnya membasmi Israel & Amerika..!!,kakaroto telah tiba ke planet bumi saatnya membasmi israel amerika
@ShevWalker,Benda langit itu indah di lihat dari bumi tapi tak indah Jika jatuh ke bumi😢😢😢,benda langit itu indah di lihat dari bumi tapi tak indah jika jatuh ke bumi
@agussetiawan4290,KERIS MPU TANTULAR😂,keris mpu tantular
@penulispam3544,waduh kenapa ga jatuh di DPR MPR pas lagi rapat...,waduh kenapa ga jatuh di dpr mpr pas lagi rapat
@yudhanovrianto1156,Panji manusia millenium datang,panji manusia millenium datang
@winduarinugroho5052,Batu langka itu,batu langka itu
@ridwanrachman8511,"Wis wayahe' njare' SiMbah Dharmo arep nganuu'...

Eling lan waspodho' njare' SiMbah.. Monggo luurr ☕☕🤗🙏",wis wayahe njare simbah dharmo arep nganuu eling lan waspodho njare simbah monggo luurr
@adityatya8225,"Kalau di Israel itu sudah  berbunyi sirine langsung di tembak pakai rudal,di sangka Israel rudal dari Iran 😅😅😅🤣🤣🤣",kalau di israel itu sudah berbunyi sirine langsung di tembak pakai rudaldi sangka israel rudal dari iran
@HRS_Team,Itu di brebes bos jatuhnya. .suaranya jg sangat keras sperti gludug,itu di brebes bos jatuhnya suaranya jg sangat keras sperti gludug
@ZezeOping,"Bintang kemukus kl kata org tua dulu akan adanya huru hara atau juga kerusuhan dlm negri. Sebelum pengkhianatan G30s PKI juga pernah di lihat bintang kemukus.
Tp semua atas izin Allah, kita hanya bisa berharap semoga tdk terjadi hal2 yg buruk..",bintang kemukus kl kata org tua dulu akan adanya huru hara atau juga kerusuhan dlm negri sebelum pengkhianatan g30s pki juga pernah di lihat bintang kemukus tp semua atas izin allah kita hanya bisa berharap semoga tdk terjadi hal2 yg buruk
@marsudinmamun1211,Rudal jelajah israel kali mim,rudal jelajah israel kali mim
@etle7,Terdengar sampai Brebes,terdengar sampai brebes
@syairbayangan5384,Lumayan jual batu meteorit itu..!!,lumayan jual batu meteorit itu
@marsudinmamun1211,Banaspati itu ...waktu kecil liat kaya gitu,banaspati itu waktu kecil liat kaya gitu
@jantoduri3138,Dron Israel Ndak .??? Dipastikan itu ....dunia saat TDK baik2 saja...,dron israel ndak dipastikan itu dunia saat tdk baik2 saja
@Brinus,"Bom isrel nyerang ke Indonesia, akibat ke jauhan, bom nyah jadi lemah....",bom isrel nyerang ke indonesia akibat ke jauhan bom nyah jadi lemah
@adenannan8198,Rudal Israel 😅,rudal israel
@widyawibawa440,Israel kirim salam kenal tu...,israel kirim salam kenal tu
@KimJongUn446,knp tdk di tembal ama rudal kaan,knp tdk di tembal ama rudal kaan
@AssaniAhsanKurniawan,Kaiju sedang bertarung dengan ultraman,kaiju sedang bertarung dengan ultraman
@mustaqim4352,Suku saiyan datang ke bumi,suku saiyan datang ke bumi
@EdwinMarbun,Decepticon sedang mencari all spark di Indonesia 😂😂😂,decepticon sedang mencari all spark di indonesia
@vidiojadul2426,mirip rudal antar benua..kalo meteor secepat kilat..,mirip rudal antar benuakalo meteor secepat kilat
@AsriSurono,Banapasti cuk pengganti rudal nuclear 😅😢😊,banapasti cuk pengganti rudal nuclear
@AndiSubroto-e2c,Uuuu santet nya seperti rudal 😲😲😲😲😤😤😤😱,uuuu santet nya seperti rudal
@Romany-i6h,Itu adalah milik negara??????,itu adalah milik negara
@bsoda69,"LANGSUNG INVESTIGASI, TAKUTNYA MEMBAWA MAKHLUK DARI LUAR ANGKASA SEPERTI DI TIKTOK ITU KIN PANAMA... TOLONG DI INVESTIGASI SEGERA PARA PETUGAS BRIN .. please JANGAN SAMPAI TERLAMBAT.. 🙏🙏🙏🙏",langsung investigasi takutnya membawa makhluk dari luar angkasa seperti di tiktok itu kin panama tolong di investigasi segera para petugas brin please jangan sampai terlambat
@Arhadinatama,Batunya mahal itu,batunya mahal itu
@ohhagus,Rudal nyasar 😂,rudal nyasar
@Kakek_Sugiono69,Banaspati,banaspati
@gugelgigel,"sudahlah, negara ini buktikan ijazah palsu aja gak becus, gak usah sok2an analisa benda langit 😂",sudahlah negara ini buktikan ijazah palsu aja gak becus gak usah sok2an analisa benda langit
@RiyanYanto-of8zp,Itu Kaguya dinaruto aoekeokweke,itu kaguya dinaruto aoekeokweke
@yantooblo5777,Pasti banas pati klw gk santet thu😂😂😂,pasti banas pati klw gk santet thu
@Asoka123-r5d,Emangnya negara kita ga punya pertahanan udara segitu gedenya sampe tembus,emangnya negara kita ga punya pertahanan udara segitu gedenya sampe tembus
@Asoka123-r5d,Emangnya negara kita ga punya pertahanan udara segitu gedenya sampe tembus,emangnya negara kita ga punya pertahanan udara segitu gedenya sampe tembus
@Asoka123-r5d,Emangnya kita ga punya pertahanan udara segitu gedenya,emangnya kita ga punya pertahanan udara segitu gedenya
@tianhansamu5314,Semoga superman berikutnya dari jawa 😂😂,semoga superman berikutnya dari jawa
@PendiPendi-er4ov,biasanya pecahan itu bisa tuk bantu orng  siapa yng menemukan. mcam kisah  ponari dpt Benda yng jatuh dari atas?,biasanya pecahan itu bisa tuk bantu orng siapa yng menemukan mcam kisah ponari dpt benda yng jatuh dari atas
@Insane_Fish_exe,"Heran sama beberapa komen,masak meteor aja dikaitkan ama kiamat lah,banaspati lah,dajjal lah dll 😭😭🥀🥀🥀",heran sama beberapa komenmasak meteor aja dikaitkan ama kiamat lahbanaspati lahdajjal lah dll
@turkisnasution4987,somoga tdk ada korban  dan membawa berkah,somoga tdk ada korban dan membawa berkah
@roimgaul,takira ban jeplok jebule meteor,takira ban jeplok jebule meteor
@SarmunahNah,Cari tuh meteor kalo nemu auto jadi orang kaya tapi jgn kasih tau pemerintah ntar di ambil 😂,cari tuh meteor kalo nemu auto jadi orang kaya tapi jgn kasih tau pemerintah ntar di ambil
@EkaBanjarharjo,Ke brebes jga kerasa dentumanya,ke brebes jga kerasa dentumanya
@PujionoPujiono-fi8ej,Mau kiamat itu bertobat semua jgn korupsi yg JD pejabat,mau kiamat itu bertobat semua jgn korupsi yg jd pejabat
@faezyaalfath5592,Saya lg jajal ilmu min,saya lg jajal ilmu min
@SunediTrihatmojo,BMKG dan BRIN pasti kasih berita setelah kejadian 😆 trus fungsi mereka di negara ini apa yah 🤦,bmkg dan brin pasti kasih berita setelah kejadian trus fungsi mereka di negara ini apa yah
@cicemetre9615,Jatuhny d berbers bukn d carbon min,jatuhny d berbers bukn d carbon min
@Hidayatplafon,"Subhanallah...
Maha suci Allah dengan segala ciptaannya",subhanallah maha suci allah dengan segala ciptaannya
@azzamkhalidputra8817,Optimus prime is back,optimus prime is back
