Penulis,Komentar,Komentar_Bersih
@lukmanwasono2333,"Itu bukan meteor akan tetapi rudal balistik antar benua yang terbang di orbit bumi tujuan jakarta tapi di atas cirebon, sengaja di jatuhkan oleh negara pemiliknya. Wajarlah negara kita masih jauh radar dengan teknologi canggih untuk memantau di atas langit/orbit. Radar Indonesia hanya mampu memantau dari permukaan tanah sampai lapisan atmosfer bumi, kalau di atas atmosfer bumi/orbit.....Indonesia belim punya. Apalagi rudal pencegat balistik antar benua, Indonesia masih jauh dari kata punya",itu bukan meteor akan tetapi rudal balistik antar benua yang terbang di orbit bumi tujuan jakarta tapi di atas cirebon sengaja di jatuhkan oleh negara pemiliknya wajarlah negara kita masih jauh radar dengan teknologi canggih untuk memantau di atas langitorbit radar indonesia hanya mampu memantau dari permukaan tanah sampai lapisan atmosfer bumi kalau di atas atmosfer bumiorbitindonesia belim punya apalagi rudal pencegat balistik antar benua indonesia masih jauh dari kata punya
@gigglesinthenight423,Lah BMKG kepanjangannya aja Badan Meteorologi Klimatologi dan Geofisika ko bukan kewenangannya wkwk,lah bmkg kepanjangannya aja badan meteorologi klimatologi dan geofisika ko bukan kewenangannya wkwk
@Lullaby-n8k,"Alien datang menakluki bumi,demi coco yang dicari cari ,mereka kan tiba tak lama lagi..apa mungkin terjadi???",alien datang menakluki bumidemi coco yang dicari cari mereka kan tiba tak lama lagiapa mungkin terjadi
@AhmadNurudin19,Cirebon akan segera di azab besar besaran oleh Allah dan itu semua sebagai tanda tandanya,cirebon akan segera di azab besar besaran oleh allah dan itu semua sebagai tanda tandanya
@hobyqu,Cari batu meteor nya lgsg jual😃,cari batu meteor nya lgsg jual
@Sifanda508,"Jatuhnya dicirebon, jauh juga saya dari kalimantan waktu jatuh kelihatan jelas melintas",jatuhnya dicirebon jauh juga saya dari kalimantan waktu jatuh kelihatan jelas melintas
@rinozora1680,Bayi superman itu mendarat di bumi,bayi superman itu mendarat di bumi
@hytams69,yang bilang banas pati palanya kegedean diisi sama mitos,yang bilang banas pati palanya kegedean diisi sama mitos
@abyzard4336,"gimana guys pilih, Kimi no nawa atau quiet place ?",gimana guys pilih kimi no nawa atau quiet place
@pakdetoyo1104,Allahu Akbar,allahu akbar
@02031Kim,Bisa saja Bukan meteor itu... hati2 bisa saja percobaan serangan rudal dr negara lain,bisa saja bukan meteor itu hati2 bisa saja percobaan serangan rudal dr negara lain
@anggonoedy6752,Lambat.   Ntah ap kerja badan itu,lambat ntah ap kerja badan itu
@UmiAstuti-c9s,Kirain Rudal Kiriman Israel ke Markas Kadrun di Jabar🎉😂,kirain rudal kiriman israel ke markas kadrun di jabar
@eliyaheli5090,Temenku juga ngeliat pas lagi nginep di sekolah SMA yang lainnya lgi mbit,temenku juga ngeliat pas lagi nginep di sekolah sma yang lainnya lgi mbit
@adityarivaldi3842,kami yg dikalimantan timur area kutai timur juga melihatnya sekitar magrib pukul 18.30 wita,kami yg dikalimantan timur area kutai timur juga melihatnya sekitar magrib pukul 1830 wita
@niraa890,Isriwil mulai menggoda,isriwil mulai menggoda
@danuwijaya7380,30 hari lagi klo gak meteor gede ya pesawat alien mampir ke Bumi! Siap2 gunjangan dunia 😊,30 hari lagi klo gak meteor gede ya pesawat alien mampir ke bumi siap2 gunjangan dunia
@ariplantsid6145,banaspati kyknya,banaspati kyknya
@egplus-tom,bendanya sudah ketemu belum?,bendanya sudah ketemu belum
@Makima-e5z,Pantes kemarin terdengar suara ledakan kek rudal balistik bjir,pantes kemarin terdengar suara ledakan kek rudal balistik bjir
@rasyidgio3430,Moga aja bukan rudal yg mencoba masuk ke Indonesia itu 🤲,moga aja bukan rudal yg mencoba masuk ke indonesia itu
@RenitaMeylani-t2j,Rudal orsenik,rudal orsenik
@MagnumFilter-h1j,Biar keliatan kerja wk,biar keliatan kerja wk
@musikita.official_id,Jangan2 iron man lagi terbang,jangan2 iron man lagi terbang
@EndonSiah,AKU KENCING LOSSS LOSSSS,aku kencing losss lossss
@EndonSiah,Meteor asu jakarta banten jawa barat orang2 bodoh otaknya di jawa itu sering itu bukan meteor 😅,meteor asu jakarta banten jawa barat orang2 bodoh otaknya di jawa itu sering itu bukan meteor
@AliSetiawan-gb3sy,Rudal israel,rudal israel
@LakiMichat,BMKG kan suka pantau Hilal kenapa sekarang Lepas tangan bukan tugasnya meriksa😂😂😂 konyol,bmkg kan suka pantau hilal kenapa sekarang lepas tangan bukan tugasnya meriksa konyol
@user-jo5dl9le6b,"Harusnya langsung bilang ""KIMI NO NAMAE WA...UDIN"" 😂",harusnya langsung bilang kimi no namae waudin
@Chanif-d5z,"madara uchiha  jurus hujan api meteor tidak bisa di prediksi, apa nabi elyas hujan api manggang daging.. Ntar malah kekeringan 3 tahunan, puting beliung, naik kereta kencana api lagi..😅😅",madara uchiha jurus hujan api meteor tidak bisa di prediksi apa nabi elyas hujan api manggang daging ntar malah kekeringan 3 tahunan puting beliung naik kereta kencana api lagi
@FCgamefootball,"Meteor ukuran besar.. Smpe menembus atmosfer bumi
Semoga baik"" Aaja
Jgn smpe kyk jaman kepunahan dinosaurus dulu",meteor ukuran besar smpe menembus atmosfer bumi semoga baik aaja jgn smpe kyk jaman kepunahan dinosaurus dulu
@karmandoang6299,"Optimus prime ,itu😂",optimus prime itu
@socotra8767,Kenapa ga jatuh di rumah Puan,kenapa ga jatuh di rumah puan
@thebagoesfamily3319,Jangan2 di serang setanyahu isriwil??????,jangan2 di serang setanyahu isriwil
